"uniprot_gn_id","external_gene_name"
"Q3TCD4","Eci2"
"Q3TCR7","Dnm2"
"Q3TG58","Eif4h"
"Q3TGR2","Fgb"
"Q3TML0","Pdia6"
"Q3TPZ5","Dctn2"
"Q3TRJ1","Vps35"
"Q3TWG5","Dync1li1"
"Q3TYE5","Lsamp"
"Q3U2G2","Hspa4"
"Q3U489","Ak4"
"Q3U7Z6","Pgam1"
"Q3U8Y1","Mrps11"
"Q3UC14","Sfxn2"
"Q3UEE8","Hao1"
"Q3UEJ8","Pipox"
"Q3UEM7","Fgg"
"Q3UEP4","Ugt2b36"
"Q3UER1","Aldob"
"Q3UGC8","Pcca"
"Q3UHH0","Atp2b2"
"Q3UJ95","Pip4k2b"
"Q3ULF7","Actr3"
"Q3UMM1","Tubb6"
"Q3UPK6","Psma5"
"Q3US81","Gpm6b"
"Q3USC7","Gdap1l1"
"Q3USR5","Fbxo2"
"Q3UVJ7","Decr2"
"Q3UXD9","Pecr"
"Q3UYN2","Cpne6"
"Q45TP8","Cmtm5"
"Q4FJK0","Decr1"
"Q4FJL2","Rtn1"
"Q4FJR4","Pdk3"
"Q4FJU3","Crip2"
"Q4FK36","Dstn"
"Q4FK79","Ssr3"
"Q4KL41","Tomm20"
"Q4VA32","Acot13"
"Q4VAE6","Rhoa"
"Q4VBX4","Ube2v2"
"Q504N4","Dguok"
"Q50HX4","Rab14"
"Q53ZD4","Mgst1"
"Q540D7","Akr1a1"
"Q542H2","Psma7"
"Q542N8","Palm"
"Q542T4","Mbp"
"Q543E2","Slc25a15"
"Q543N5","Clic4"
"Q544F6","Cotl1"
"Q544M1","Ly6h"
"Q544R1","Plpbp"
"Q545G0","Psmb3"
"Q545H3","Timm17b"
"Q545I6","Ctsz"
"Q547J4","Mapt"
"Q548F2","Gda"
"Q54A87","Atp6v1g2"
"Q561M1","Acp1"
"Q564E8","Rpl4"
"Q58DZ5","Mrps33"
"Q5HZY7","Atp6v1g1"
"Q5I0W0","Atp5pb"
"Q5ICG5","Acsl6"
"Q5M8Q0","Rpl15"
"Q5M9J2","Hint2"
"Q5NCJ9","Uqcr10"
"Q5SW88","Rab1a"
"Q5SX53","Slc25a11"
"Q5UE59","Klc1"
"Q5XJF6","Rpl10a"
"Q68FG2","Sptbn2"
"Q6A0D1","Emc2"
"Q6DFY2","Opcml"
"Q6GQU1","Hk1"
"Q6GT24","Prdx6"
"Q6P6I8","Sirpa"
"Q6P8N8","Clpx"
"Q6PBC0","Cds2"
"Q6ZWS7","Camk2g"
"Q6ZWZ4","Rpl36"
"Q6ZWZ7","Rpl17"
"Q7M6W1","Rtn1"
"Q80TL4","Phf24"
"Q80TZ3","Dnajc6"
"Q80U23","Snph"
"Q80VM5","Dpp6"
"Q80WM4","Hapln4"
"Q80X85","Mrps7"
"Q80XN0","Bdh1"
"Q80Y14","Glrx5"
"Q80ZS3","Mrps26"
"Q810U3","Nfasc"
"Q810U4","Nrcam"
"Q8BFZ3","Actbl2"
"Q8BFZ9","Erlin2"
"Q8BG39","Sv2b"
"Q8BG51","Rhot1"
"Q8BGA8","Acsm5"
"Q8BGF9","Slc25a44"
"Q8BGH2","Samm50"
"Q8BGN3","Enpp6"
"Q8BGN8","Synpr"
"Q8BGT5","Gpt2"
"Q8BGT8","Phyhipl"
"Q8BGX3","Lrtm2"
"Q8BGY7","Fam210a"
"Q8BH59","Slc25a12"
"Q8BH66","Atl1"
"Q8BH80","Vapb"
"Q8BH95","Echs1"
"Q8BHC4","Dcakd"
"Q8BHE3","Atcay"
"Q8BHN3","Ganab"
"Q8BIJ6","Iars2"
"Q8BJ03","Cox15"
"Q8BJ64","Chdh"
"Q8BJH1","Zc2hc1a"
"Q8BJI1","Slc6a17"
"Q8BK48","Ces2e"
"Q8BK72","Mrps27"
"Q8BKZ9","Pdhx"
"Q8BL66","Eea1"
"Q8BMF3","Me3"
"Q8BMF4","Dlat"
"Q8BMS1","Hadha"
"Q8BP40","Acp6"
"Q8BP67","Rpl24"
"Q8BPN8","Dmxl2"
"Q8BPW9","Dnpep"
"Q8BSE0","Rmdn2"
"Q8BTG7","Ndrg4"
"Q8BU88","Mrpl22"
"Q8BUV3","Gphn"
"Q8BUY5","Timmdc1"
"Q8BVI4","Qdpr"
"Q8BW75","Maob"
"Q8BWM0","Ptges2"
"Q8BWQ1","Ugt2a3"
"Q8BWT1","Acaa2"
"Q8BWW3","Pgm3"
"Q8BY89","Slc44a2"
"Q8BYI9","Tnr"
"Q8BYL4","Yars2"
"Q8C048","Atp2b3"
"Q8C0E2","Vps26b"
"Q8C0M9","Asrgl1"
"Q8C165","Pm20d1"
"Q8C196","Cps1"
"Q8C1B7","Sept11"
"Q8C2Q8","Atp5c1"
"Q8C419","Gpr158"
"Q8C5H8","Nadk2"
"Q8C5R8","Prps1l1"
"Q8C605","Pfkp"
"Q8C7H1","Mmaa"
"Q8C845","Efhd2"
"Q8C996","Tmem163"
"Q8CAQ8","Immt"
"Q8CBM2","Asph"
"Q8CC88","Vwa8"
"Q8CFX1","H6pd"
"Q8CG76","Akr7a5"
"Q8CGK3","Lonp1"
"Q8CHQ9","Nat8f2"
"Q8CHT0","Aldh4a1"
"Q8JZN5","Acad9"
"Q8JZS0","Lin7a"
"Q8JZU2","Slc25a1"
"Q8JZZ0","Ugt3a2"
"Q8K0D5","Gfm1"
"Q8K0L3","Acsm2"
"Q8K0U4","Hspa12a"
"Q8K0Z7","Taco1"
"Q8K154","Ugt2b34"
"Q8K1Z0","Coq9"
"Q8K215","Lyrm4"
"Q8K221","Arfip2"
"Q8K2B3","Sdha"
"Q8K2C6","Sirt5"
"Q8K2C9","Hacd3"
"Q8K2M0","Mrpl38"
"Q8K2Y7","Mrpl47"
"Q8K354","Cbr3"
"Q8K370","Acad10"
"Q8K411","Pitrm1"
"Q8K4Z3","Naxe"
"Q8QZR3","Ces2a"
"Q8QZS1","Hibch"
"Q8QZT1","Acat1"
"Q8R084","Ugt2b1"
"Q8R086","Suox"
"Q8R0F8","Fahd1"
"Q8R0Y6","Aldh1l1"
"Q8R0Y8","Slc25a42"
"Q8R191","Syngr3"
"Q8R1S0","Coq6"
"Q8R2K3","Ssbp1"
"Q8R2Y8","Ptrh2"
"Q8R404","Micos13"
"Q8R429","Atp2a1"
"Q8R464","Cadm4"
"Q8R4N0","Clybl"
"Q8R5C5","Actr1b"
"Q8R5H6","Wasf1"
"Q8R5L1","C1qbp"
"Q8VBV7","Cops8"
"Q8VCR2","Hsd17b13"
"Q8VCT4","Ces1d"
"Q8VCW8","Acsf2"
"Q8VCZ9","Prodh2"
"Q8VDD5","Myh9"
"Q8VDK1","Nit1"
"Q8VDN2","Atp1a1"
"Q8VDQ8","Sirt2"
"Q8VE22","Mrps23"
"Q8VE38","Oxnad1"
